bio1,bio12,CTI_1K,ELEV_1K,EVI_mask_1K,EVIM_1K,M13RB1ALT,M13RB2ALT,M13RB3ALT,M13RB7ALT,MASK,NPP_Mean_1,RELIEF_1K,SLOPE_1K,lstday,lstnight
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,1309,13.2577962875366,1198,1,3573,487,2367,290,832,1,10012.8603515625,18,2,302,287
210,1111,14.0823307037354,1203,1,3668,518,2519,285,1027,1,8790.6376953125,65,3,303,288
198,1036,12.9345922470093,1548,1,3568,434,2252,292,1133,1,8484.140625,11,1,304,284
237,1260,13.5061740875244,544,1,3425,580,2413,355,1028,1,7848.43017578125,13,1,303,290
211,609,13.2044534683228,1230,1,2425,1271,2811,581,2014,1,3972.07592773438,14,1,311,287
212,1302,14.1975212097168,1111,1,3417,556,2389,311,1049,1,9313.8154296875,13,3,304,286
237,1270,11.6888008117676,524,1,3462,666,2486,460,1050,1,7724.48876953125,37,4,303,291
241,485,12.0813179016113,213,1,2370,825,2153,409,1617,1,8499.294921875,43,3,305,292
220,1343,12.8358373641968,1063,1,3246,636,2399,353,1141,1,8738.9072265625,68,3,305,288
197,866,13.334080696106,1443,1,2646,1264,2971,576,2688,1,5081.17138671875,12,1,308,286
218,1398,11.6997814178467,954,1,3805,520,2583,309,1027,1,8997.708984375,60,4,301,289
217,1048,17.0717506408691,950,1,4796,385,2956,264,747,1,10081.9931640625,117,1,303,290
205,1336,13.0085258483887,1263,1,3351,604,2443,337,1083,1,7968.43310546875,72,2,302,289
205,640,20.2289714813232,1268,1,2284,825,2080,423,1274,1,2886.83032226562,11,1,314,286
199,1328,20.195484161377,1288,1,3719,508,2432,332,875,1,9515.2119140625,12,0,301,289
211,1450,12.1759624481201,1167,1,3937,443,2519,287,791,1,5829.1162109375,88,3,301,286
188,1302,12.7874135971069,1688,1,2957,670,2291,353,1243,1,8241.25390625,50,4,303,285
205,1372,13.6475429534912,1275,1,3778,566,2650,304,987,1,11166.595703125,31,2,301,290
